epoch (val_ndcg, val_hr) (test_ndcg, test_hr)
20 (np.float64(0.24615083856479317), 0.3961267605633803) (np.float64(0.20051213900951637), 0.311443661971831)
40 (np.float64(0.2869710614346356), 0.45211267605633804) (np.float64(0.23660689771958968), 0.3684859154929577)
60 (np.float64(0.3081568272757606), 0.48450704225352115) (np.float64(0.24999430568234426), 0.3845070422535211)
80 (np.float64(0.3153444128461651), 0.4913732394366197) (np.float64(0.253441038118685), 0.396830985915493)
100 (np.float64(0.31289296387541304), 0.49383802816901406) (np.float64(0.251194911648956), 0.3938380281690141)
120 (np.float64(0.3126459701923492), 0.5003521126760564) (np.float64(0.2476247107096737), 0.39436619718309857)
140 (np.float64(0.3128756898393049), 0.4950704225352113) (np.float64(0.249153841408098), 0.3948943661971831)
160 (np.float64(0.31248857599541036), 0.5001760563380282) (np.float64(0.250467951888805), 0.3947183098591549)
180 (np.float64(0.32131168703903673), 0.5109154929577465) (np.float64(0.25795242833135834), 0.41144366197183097)
200 (np.float64(0.322808198374646), 0.509330985915493) (np.float64(0.26321224664434445), 0.42024647887323946)
220 (np.float64(0.3309018922647318), 0.5144366197183099) (np.float64(0.2682980312673386), 0.41496478873239434)
240 (np.float64(0.3300166405809472), 0.5126760563380282) (np.float64(0.27249456083445384), 0.4251760563380282)
260 (np.float64(0.33228316966233573), 0.518838028169014) (np.float64(0.2688729020405353), 0.4176056338028169)
280 (np.float64(0.33737644048863497), 0.5227112676056338) (np.float64(0.27874399233712827), 0.4297535211267606)
300 (np.float64(0.33759198217809666), 0.522887323943662) (np.float64(0.2776309935346456), 0.427112676056338)
