epoch (val_ndcg, val_hr) (test_ndcg, test_hr)
20 (0.6978013001351155, 0.9227) (0.6278161779888043, 0.8528)
40 (0.7292843922932745, 0.9312) (0.6578023770803808, 0.8699)
60 (0.7465486931925756, 0.9376) (0.6696009667617725, 0.8694)
80 (0.7602815742797047, 0.9421) (0.6809648133668267, 0.8795)
100 (0.7552371389308684, 0.9392) (0.689920214235243, 0.8804)
120 (0.7698869074413502, 0.9477) (0.6977520163971083, 0.8895)
140 (0.7692783116231279, 0.9472) (0.6898813589715828, 0.8791)
160 (0.7708945556535693, 0.9473) (0.7029031935332994, 0.8923)
180 (0.7804279361693145, 0.9519) (0.7047115116258548, 0.8874)
200 (0.773375156550734, 0.9461) (0.703455182815235, 0.8837)
220 (0.7783195676547958, 0.9513) (0.711130991032552, 0.8921)
240 (0.7859126515444712, 0.9498) (0.7080563813890425, 0.8896)
260 (0.7810396953724715, 0.9492) (0.7107195258856398, 0.8914)
280 (0.7862676579814022, 0.9495) (0.7167710220064366, 0.8947)
300 (0.7873903160335872, 0.9526) (0.7064433951340636, 0.8888)
320 (0.7910435436270155, 0.9503) (0.7172385121387771, 0.8947)
340 (0.7870120161863908, 0.9533) (0.7159877049429748, 0.8911)
360 (0.7887501413267524, 0.9546) (0.7184393527158538, 0.8973)
380 (0.7929321439041747, 0.9516) (0.7146446037907022, 0.8921)
400 (0.789958199781727, 0.9535) (0.7217261066840666, 0.8954)
420 (0.785856651288437, 0.95) (0.7186616816130538, 0.8942)
440 (0.7901994176532776, 0.951) (0.7229730813380895, 0.8946)
460 (0.7941273001405675, 0.9522) (0.7179904555176733, 0.8977)
480 (0.7917386736997021, 0.952) (0.7254559894443462, 0.8988)
500 (0.7961864094286962, 0.9507) (0.7229695108725791, 0.8979)
520 (0.7903976261288997, 0.9504) (0.718932381826829, 0.8936)
540 (0.7938365438919897, 0.9536) (0.7258038217100967, 0.9001)
560 (0.7985972509964943, 0.953) (0.7240694478752422, 0.8991)
580 (0.7896904610924578, 0.954) (0.7262469372800532, 0.897)
600 (0.7865788826455485, 0.9529) (0.7244707462160627, 0.8994)
620 (0.796708905969532, 0.9557) (0.7236065843976408, 0.8983)
640 (0.796718183244434, 0.9575) (0.7178585675606686, 0.893)
660 (0.7969528150386722, 0.9513) (0.7201265399737765, 0.8984)
680 (0.7996949474603666, 0.9551) (0.7196563917265592, 0.8944)
700 (0.7948706038664421, 0.9529) (0.7284845280194138, 0.9002)
720 (0.7957374631038255, 0.9541) (0.721861008645158, 0.8983)
740 (0.8007245151491019, 0.9548) (0.7274345668524392, 0.9015)
760 (0.7953098245703132, 0.9527) (0.7253177043616138, 0.8946)
780 (0.7937204362096808, 0.9565) (0.7276087048914527, 0.8972)
800 (0.793096438533644, 0.9543) (0.7206652175971694, 0.8963)
820 (0.7957269814938097, 0.9546) (0.7283023735311205, 0.8999)
840 (0.7980104977363803, 0.9549) (0.7261645191721076, 0.899)
860 (0.7994837939336839, 0.9602) (0.7260854225039722, 0.9021)
880 (0.8024429718055026, 0.9592) (0.7313039270762026, 0.9055)
900 (0.7980605877188189, 0.9541) (0.7255299207432873, 0.8957)
920 (0.7881723181962534, 0.9486) (0.7248776717843365, 0.8934)
940 (0.7920419882378168, 0.9516) (0.7232692363989458, 0.8966)
960 (0.8048938114000365, 0.9562) (0.7249923099690833, 0.8978)
980 (0.7905140140643878, 0.9517) (0.7272324420866898, 0.9069)
1000 (0.7974642720560955, 0.9566) (0.722951002841953, 0.8963)
