epoch (val_ndcg, val_hr) (test_ndcg, test_hr)
20 (np.float64(0.7040260755337707), 0.9248) (np.float64(0.6193685957158287), 0.8496)
40 (np.float64(0.7276312297923897), 0.9302) (np.float64(0.6497121069291084), 0.8616)
60 (np.float64(0.7466489368320331), 0.9352) (np.float64(0.6702732803048547), 0.8668)
80 (np.float64(0.7531145568531058), 0.9394) (np.float64(0.6724447337443091), 0.871)
100 (np.float64(0.7635407297457676), 0.9473) (np.float64(0.6855081836901393), 0.8747)
120 (np.float64(0.7729589069789174), 0.9454) (np.float64(0.69748940072422), 0.8806)
140 (np.float64(0.7725099095533207), 0.942) (np.float64(0.6979742383585091), 0.8812)
160 (np.float64(0.7772884643516337), 0.9462) (np.float64(0.6985620815761361), 0.8804)
180 (np.float64(0.7801972535175179), 0.9489) (np.float64(0.6979153616551441), 0.8782)
200 (np.float64(0.7784041806315978), 0.948) (np.float64(0.709798970704827), 0.8904)
220 (np.float64(0.782748325691126), 0.9489) (np.float64(0.7024163965869364), 0.887)
240 (np.float64(0.7798402749860589), 0.9479) (np.float64(0.7045428155378916), 0.8841)
260 (np.float64(0.7762048021723794), 0.9438) (np.float64(0.7099008290622826), 0.8868)
280 (np.float64(0.7836221615539897), 0.9474) (np.float64(0.7077510024635519), 0.884)
300 (np.float64(0.7875427691864179), 0.9497) (np.float64(0.717617126194622), 0.8909)
